country,count
United States,205
Unknown,32
Mexico,17
United Kingdom,16
Argentina,7
Brazil,7
South Korea,6
France,4
Italy,4
Chile,3
Colombia,3
Canada,2
Germany,2
India,2
"United States, United Kingdom",1
Australia,1
Singapore,1
Netherlands,1
Japan,1
